node_name,IPC,L1D_miss_rate_%,LLC_miss_rate_%,MPKI_L1D,MPKI_LLC,MPKI_branch,memory_intensity
behavior_planning_container,0.37599459295473725,4.581715677306775,4.581715677306775,18.364114075383604,18.364114075383604,7.665251358772813,0.40081304403808843
control_container,0.4292131483641182,4.2952476620688085,4.294747771898823,17.05653019629689,17.0507457855167,6.857843112468738,0.3971023684366922
ekf_localizer,0.314856426883209,5.31062634828433,5.31062634828433,22.642718542473137,22.642718542473137,15.018815686869324,0.426366252443804
map_based_prediction,0.2533601488089268,5.891538993724641,5.891538993724641,26.12559050032355,26.12559050032355,17.84873528549836,0.4434425457957787
mission_planner_container,0.32025929494021443,5.156862857516667,5.156862857516667,21.318356100739685,21.318356100739685,11.868132708077306,0.4133977708882824
motion_planning_container,0.3520477588413918,4.850327727818857,4.850617521815951,19.863060962850426,19.863060962850426,10.38718169277883,0.4095199763291592
multi_object_tracker,0.28380345536453305,5.707991360893469,5.707585618405684,24.91325237853119,24.91114674705743,17.563656793130814,0.43646268544161804
ndt_scan_matcher,0.31659346944669,4.827203932509043,4.827203932509043,20.254778681223012,20.254778681223012,13.707611461414388,0.4195964986027668
shape_estimation,0.274911041538257,5.6486182469332595,5.6486182469332595,24.145328356298613,24.145328356298613,16.169213716971974,0.4274554820447914
velocity_smoother_container,0.3212141622721132,5.1768499657004075,5.1768499657004075,21.35877165691944,21.35877165691944,12.564737735026442,0.4125823966008967
