node_name,bytes_per_instruction,l1_to_llc_ratio,bytes_per_cycle,ops_per_byte,compute_memory_ratio,l1d_reuse_ratio,overall_cache_hit_rate_%,memory_op_proportion_%,primary_bottleneck
behavior_planning_container,1.1753033008245506,1.0,0.44190768619188603,0.8508442027674353,2.494928782569691,20.82588511445608,95.41828432269322,40.08130440380884,memory
control_container,1.0912477302730688,1.00022282515518,0.4683778739557019,0.9163822038372209,2.5182423462665002,22.281544597089642,95.70525222810117,39.71023684366922,memory
ekf_localizer,1.4491339867182809,1.0,0.4562691491331375,0.6900673154899962,2.3454013873478465,17.830170575323258,94.68937365171567,42.6366252443804,memory
map_based_prediction,1.672037792020707,1.0,0.42362774380051577,0.5980726062366511,2.255083571661922,15.973493701139,94.10846100627536,44.34425457957787,memory
mission_planner_container,1.3643747904473398,1.0,0.43695370842286785,0.7329364387274617,2.41897772658828,18.391634558254644,94.84313714248333,41.33977708882824,memory
motion_planning_container,1.2712359016224273,1.0000597473023178,0.44753575012489155,0.7866360592268832,2.441883321452997,19.617163542672404,95.14938247818405,40.95199763291592,memory
multi_object_tracker,1.5943133918116756,1.0000134364314497,0.45247164953010216,0.6272292543837094,2.291146605094519,16.519297713924196,94.29241438159431,43.646268544161806,memory
ndt_scan_matcher,1.2963058355982728,1.0,0.4104019619560477,0.7714228946122723,2.383242003519917,19.71592611336452,95.17279606749096,41.959649860276684,memory
shape_estimation,1.545301014803111,1.0,0.42482031146964877,0.6471231109153264,2.339424903890258,16.703444564392694,94.35138175306675,42.74554820447914,memory
velocity_smoother_container,1.3669613860428442,1.0,0.43908735647607894,0.7315495596366884,2.423758280136537,18.316766115023075,94.8231500342996,41.25823966008967,memory
